Schronisko w Skorocicach pod Drogą Wschodnie,Niecka Nidziańska
Jaskinia Ucho Olki,Niecka Nidziańska
Schronisko w Okrągłej Górze,Niecka Nidziańska
Jaskinia w Skorocicach u Ujścia Doliny,Niecka Nidziańska
Jaskinia nad Wodą,Niecka Nidziańska
Mostek w Aleksandrowie,Niecka Nidziańska
Jaskinia Flisa,Niecka Nidziańska
Jaskinia w Aleksandrowie,Niecka Nidziańska
Schron z Przepływem,Niecka Nidziańska
Schronisko Narożne,Niecka Nidziańska
Jaskinia w Łagiewnikach,Niecka Nidziańska
Jaskinia w Ryglu,Niecka Nidziańska
Jaskinia na Kontakcie,Niecka Nidziańska
Jaskinia pod Wygódką,Niecka Nidziańska
Schronisko Samotne,Niecka Nidziańska
Schronisko z Czosnkiem,Niecka Nidziańska
Dziupla,Niecka Nidziańska
Jaskinia w Woli Zagojskiej,Niecka Nidziańska
Jaskinia Szeroka,Niecka Nidziańska
Jaskinia Półkolista,Niecka Nidziańska
Jaskinia w Siesławicach,Niecka Nidziańska
Schronisko Wschodnie w Siesławicach,Niecka Nidziańska
Schronisko Wodne I,Niecka Nidziańska
Jaskinia Wodna w Siesławicach,Niecka Nidziańska
Smocza Jama,Tatry
Schronisko w Łatanicach II,Niecka Nidziańska
Schronisko w Grodzisku,Niecka Nidziańska
Schronisko Mokre,Niecka Nidziańska
Studzienka w Siesławicach,Niecka Nidziańska
Jaskinia ze Świetlikami,Niecka Nidziańska
Jaskinia Opalowa,Niecka Nidziańska
Jaskinia w Śladkowie Dużym,Niecka Nidziańska
Schronisko w Śladkowie Małym,Niecka Nidziańska
Grota Szydły I,Niecka Nidziańska
Grota Szydły II,Niecka Nidziańska
Jaskinia pod Świecami,Niecka Nidziańska
Schronisko Wschodnie w Podwalu,Niecka Nidziańska
Jamy w Podwalu,Niecka Nidziańska
Jaskinia Szydłowska,Niecka Nidziańska
Schronisko w Siesławicach I,Niecka Nidziańska
Schronisko w Siesławicach II,Niecka Nidziańska
Jaskinie w Leszczach,Niecka Nidziańska
Jaskinia w Sielcu,Niecka Nidziańska
Jaskinia w Unikowie,Niecka Nidziańska
Pustki podziemne w Staszowie,Niecka Nidziańska
Jaskinia krasowa w Staszowie,Niecka Nidziańska
Jaskinie w Piasecznie i Machowie,Niecka Nidziańska
